Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
Award framing / carpentry contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Award roofing contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Award window / exterior doors package,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Award plumbing contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,""
Award HVAC contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,""
Award electrical / low voltage contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,""
Award fire suppression contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,""
Millwork design freeze / field dimension plan,06/02/2026,06/02/2026,Owner/Designer/PM,Open,0.00,Procurement,"Owner/design decision milestone. [milestone:yes, critical:yes]"
Tile/stone selections due,06/02/2026,06/02/2026,Owner,Open,0.00,Procurement,Owner decision milestone. [milestone:yes]
Appliance selections / order release,06/02/2026,06/02/2026,PM/Owner,Open,0.00,Procurement,Owner supply allowance risk.
Execute major subcontracts,06/03/2026,06/09/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Release window package for shop drawings,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,Long lead. Added scope. Target earliest release. [critical:yes]
Release roofing package,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,Added roof scope. [critical:yes]
Release structural/framing lumber package,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,""
Release exterior doors / hardware coordination,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,Coordinate with windows. [critical:yes]
Release electrical gear / lighting control basis,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,Confirm service/equipment lead times. [critical:yes]
Release HVAC equipment selections,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,""
Plumbing fixture allowance / selections due,06/03/2026,06/03/2026,Owner/PM,Open,0.00,Procurement,Owner decision milestone. [milestone:yes]
Millwork shop drawings,06/03/2026,06/30/2026,Vendor,Open,0.00,Procurement,""
Order tile / stone / slabs,06/03/2026,06/03/2026,PM,Open,0.00,Procurement,""
Appliance delivery,06/03/2026,08/25/2026,Vendor,Open,0.00,Procurement,""
Window field verify / opening coordination,06/04/2026,06/10/2026,PM/Super,Open,0.00,Procurement,Confirm rough openings and flashings. [critical:yes]
Roofing submittals / color / profile approval,06/04/2026,06/17/2026,PM,Open,0.00,Procurement,Standing seam profile/color approval required. [critical:yes]
Framing lumber / LVL / hardware delivery,06/04/2026,06/24/2026,Vendor,Open,0.00,Procurement,""
Exterior door/hardware submittals,06/04/2026,06/17/2026,Vendor,Open,0.00,Procurement,""
Electrical gear submittals,06/04/2026,06/17/2026,Vendor,Open,0.00,Procurement,""
HVAC submittals,06/04/2026,06/17/2026,Vendor,Open,0.00,Procurement,""
Release plumbing fixture orders,06/04/2026,06/04/2026,PM,Open,0.00,Procurement,""
Tile / stone delivery,06/04/2026,08/05/2026,Vendor,Open,0.00,Procurement,""
Plumbing fixture delivery,06/05/2026,08/27/2026,Vendor,Open,0.00,Procurement,""
Collect COIs / W-9s / compliance docs,06/10/2026,06/12/2026,PM,Open,0.00,Preconstruction / Buyout,""
Window shop drawings,06/11/2026,07/01/2026,Vendor,Open,0.00,Procurement,[critical:yes]
Preconstruction coordination meeting,06/15/2026,06/15/2026,PM/Super,Open,0.00,Preconstruction / Buyout,[critical:yes]
Mobilization authorization milestone,06/16/2026,06/16/2026,PM,Open,0.00,Preconstruction / Buyout,"[milestone:yes, critical:yes]"
Mobilize HCI field operations,06/17/2026,06/19/2026,Super,Not Started,0.00,Mobilization / Site Controls,Field work begins after Aug. 3 restart authorization. [critical:yes]
Roof material procurement / fabrication,06/18/2026,08/19/2026,Vendor,Open,0.00,Procurement,Confirm snow retention/gutter scope. [critical:yes]
Exterior doors fabrication / delivery,06/18/2026,09/23/2026,Vendor,Open,0.00,Procurement,[critical:yes]
Electrical gear fabrication / delivery,06/18/2026,12/02/2026,Vendor,Open,0.00,Procurement,Potential long-lead. [critical:yes]
HVAC equipment procurement,06/18/2026,09/23/2026,Vendor,Open,0.00,Procurement,""
Install site signage / postings / permits,06/22/2026,06/22/2026,Super,Not Started,0.00,Mobilization / Site Controls,""
Install temporary protection / dust control,06/22/2026,06/23/2026,Super,Not Started,0.00,Mobilization / Site Controls,[critical:yes]
Set temporary power / lighting,06/22/2026,06/23/2026,Super,Not Started,0.00,Mobilization / Site Controls,""
Set temp heat / ventilation controls,06/22/2026,06/23/2026,Super,Not Started,0.00,Mobilization / Site Controls,""
Pre-start subcontractor safety meeting,06/22/2026,06/22/2026,Super,Not Started,0.00,Mobilization / Site Controls,[critical:yes]
Owner item protection confirmation walk,06/24/2026,06/24/2026,PM/Super,Not Started,0.00,Mobilization / Site Controls,Confirm no additional owner protection before demo restart.
Dumpster / haul route setup,06/24/2026,06/24/2026,Super,Not Started,0.00,Mobilization / Site Controls,""
Baseline photo / conditions update,06/25/2026,06/25/2026,Super,Not Started,0.00,Mobilization / Site Controls,""
Ready for demolition milestone,06/26/2026,06/26/2026,Super,Not Started,0.00,Mobilization / Site Controls,[critical:yes]
Protect existing elements to remain,06/29/2026,06/30/2026,Super/PM,Not Started,0.00,Demolition / Discovery,Pre-demo already complete; field demolition starts August 2026. [critical:yes]
Millwork approval,07/01/2026,07/07/2026,PM,Open,0.00,Procurement,""
Selective demo - lower level,07/01/2026,07/07/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Review / approve window shops,07/02/2026,07/08/2026,PM,Open,0.00,Procurement,Owner/architect approval required. [critical:yes]
Millwork fabrication,07/08/2026,11/10/2026,Vendor,Open,0.00,Procurement,Long-lead interior driver. [critical:yes]
Selective demo - main level,07/08/2026,07/14/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Window fabrication,07/09/2026,12/23/2026,Vendor,Open,0.00,Procurement,Assumed 24 weeks; confirm vendor lead time. [critical:yes]
Selective demo - upper level,07/15/2026,07/21/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Demo debris haul off cycle 1,07/22/2026,07/23/2026,Super/PM,Not Started,0.00,Demolition / Discovery,""
Remove finishes and non-structural partitions,07/24/2026,07/30/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Remove MEP devices / cap utilities,07/31/2026,08/05/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Paint final touch-up after MEP trim,08/03/2026,08/05/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Selective ceiling demo / access openings,08/06/2026,08/10/2026,Super/PM,Not Started,0.00,Demolition / Discovery,""
Finish protection removal / clean for punch,08/06/2026,08/06/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Owner finish review before final punch,08/07/2026,08/07/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Architect finish review before final punch,08/10/2026,08/10/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Exploratory slab cuts / investigation,08/11/2026,08/13/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Final finish correction allowance,08/11/2026,08/14/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Existing structural verification walk,08/14/2026,08/14/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Engineer review / field directive after demo,08/17/2026,08/19/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Interior substantial readiness walk,08/17/2026,08/17/2026,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build. [critical:yes]
Roofing delivery / receive / inspect,08/20/2026,08/21/2026,Super,Open,0.00,Procurement,[critical:yes]
Demo corrections / supplemental removal,08/20/2026,08/25/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Post-demo cleaning and safe access,08/26/2026,08/27/2026,Super/PM,Not Started,0.00,Demolition / Discovery,""
Post-demo owner / architect walk,08/28/2026,08/28/2026,Super/PM,Not Started,0.00,Demolition / Discovery,""
Release discovered-condition RFIs,08/31/2026,09/01/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Ready for structural / rough layout milestone,09/02/2026,09/02/2026,Super/PM,Not Started,0.00,Demolition / Discovery,[critical:yes]
Layout new partitions / openings,09/03/2026,09/04/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Review layout with architect/owner,09/07/2026,09/07/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Frame lower level partitions,09/08/2026,09/14/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Frame main level partitions,09/15/2026,09/21/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Frame upper level partitions,09/22/2026,09/28/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Structural blocking/backing layout,09/29/2026,09/30/2026,Super,Not Started,0.00,Structural / Framing,""
Header/opening framing,09/29/2026,10/05/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Stair refinishing / protection prep,09/29/2026,09/30/2026,Super,Not Started,0.00,Structural / Framing,""
Fireplace framing / backing,09/29/2026,10/01/2026,Super,Not Started,0.00,Structural / Framing,""
Install structural blocking/backing,10/01/2026,10/07/2026,Super,Not Started,0.00,Structural / Framing,""
MEP coordination in framed walls,10/06/2026,10/07/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Frame inspection prep walk,10/08/2026,10/08/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Framing / structural inspection,10/09/2026,10/09/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Framing corrections,10/12/2026,10/14/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Framing approved milestone,10/15/2026,10/15/2026,Super,Not Started,0.00,Structural / Framing,[critical:yes]
Roof field verification / measurements,10/16/2026,10/19/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Roof protection / staging,10/20/2026,10/21/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,""
Selective roof removal / prep,10/22/2026,10/27/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Roof deck repairs / sheathing corrections,10/28/2026,10/30/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Roof underlayment / ice & water shield,11/02/2026,11/04/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Standing seam roofing install,11/05/2026,11/18/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Snow retention / flashings / penetrations,11/19/2026,11/24/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Roofing punch / water management review,11/25/2026,11/25/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Gutters / downspouts / roof drainage,11/26/2026,11/30/2026,Super/PM,Not Started,0.00,Exterior / Closeout,""
Window delivery / receive / inspect,12/24/2026,12/28/2026,Super,Open,0.00,Procurement,Late windows delay dry-in. [critical:yes]
Window opening prep / verify RO,12/29/2026,12/30/2026,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Install lower level windows/exterior openings,12/31/2026,01/04/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Install main level windows/exterior openings,01/05/2027,01/07/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Install upper level windows/exterior openings,01/08/2027,01/12/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Install exterior doors,01/13/2027,01/15/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Window/door flashing,01/18/2027,01/22/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
WRB / air barrier tie-ins,01/25/2027,01/29/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Exterior penetration sealing,02/01/2027,02/02/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Envelope inspection / QC water test,02/03/2027,02/03/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
Building dried-in milestone,02/04/2027,02/04/2027,Super/PM,Not Started,0.00,Roofing / Windows / Dry-In,[critical:yes]
MEP layout / rough-in coordination meeting,02/05/2027,02/05/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Exterior cladding / trim repairs,02/05/2027,02/16/2027,Super/PM,Not Started,0.00,Exterior / Closeout,""
Plumbing rough-in lower level,02/08/2027,02/15/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Plumbing rough-in main level,02/16/2027,02/23/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Exterior paint / stain touch-up,02/17/2027,02/23/2027,Super/PM,Not Started,0.00,Exterior / Closeout,""
Plumbing rough-in upper level,02/24/2027,03/02/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Final exterior cleanup,02/24/2027,02/25/2027,Super/PM,Not Started,0.00,Exterior / Closeout,""
HVAC rough-in lower level,03/03/2027,03/10/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
HVAC rough-in main level,03/11/2027,03/18/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
HVAC rough-in upper level,03/19/2027,03/25/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Electrical rough-in lower level,03/26/2027,04/02/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Electrical rough-in main level,04/05/2027,04/12/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Electrical rough-in upper level,04/13/2027,04/19/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Low voltage / AV rough-in,04/20/2027,04/29/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,""
Fire suppression rough-in,04/30/2027,05/07/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,""
Fireplace vent / gas rough coordination,05/10/2027,05/12/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,""
Bath/shower blocking and niches,05/13/2027,05/17/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,""
MEP rough coordination walk,05/18/2027,05/18/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
MEP rough-in corrections,05/19/2027,05/24/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Plumbing rough inspection,05/25/2027,05/25/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Electrical rough inspection,05/26/2027,05/26/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Mechanical rough inspection,05/27/2027,05/27/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Fire suppression rough inspection,05/28/2027,05/28/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,""
Rough inspections corrections / re-inspect,05/31/2027,06/02/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Rough-in approved milestone,06/03/2027,06/03/2027,Super/PM,Not Started,0.00,MEP Rough-In / Inspections,[critical:yes]
Insulation pre-check / air sealing walk,06/04/2027,06/04/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Insulation install lower level,06/07/2027,06/09/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Insulation install main level,06/10/2027,06/14/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Insulation install upper level,06/15/2027,06/17/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Insulation inspection,06/18/2027,06/18/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Insulation corrections,06/21/2027,06/22/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall stocking,06/23/2027,06/24/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Bath accessory / blocking verification,06/23/2027,06/24/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Closet / specialty backing verification,06/23/2027,06/24/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Drywall hang lower level,06/25/2027,07/01/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall hang main level,07/02/2027,07/08/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall hang upper level,07/09/2027,07/15/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall tape / mud coat 1,07/16/2027,07/22/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall tape / mud coat 2,07/23/2027,07/29/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall finish / sanding,07/30/2027,08/05/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall prime coat,08/06/2027,08/10/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Drywall / paint QC,08/11/2027,08/11/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Tile substrate prep,08/12/2027,08/17/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Wood flooring acclimation,08/12/2027,08/18/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Cabinet / millwork delivery,08/12/2027,08/13/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Owner finish confirmation walk after drywall prime,08/12/2027,08/12/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Finish protection reset after prime,08/12/2027,08/12/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Millwork site measure after drywall,08/12/2027,08/13/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build. [critical:yes]
Cabinet / millwork install lower level,08/16/2027,08/23/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Millwork delivery logistics / staging plan,08/16/2027,08/16/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Waterproofing wet areas,08/18/2027,08/23/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Wood flooring install,08/19/2027,09/01/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Floor moisture readings / acclimation approval,08/19/2027,08/19/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Tile layout approval,08/24/2027,08/24/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Cabinet / millwork install main level,08/24/2027,08/31/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Tile waterproofing inspection / flood test allowance,08/24/2027,08/25/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Tile install lower level baths,08/25/2027,09/03/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Cabinet / millwork install upper level,09/01/2027,09/07/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Wood flooring sand / finish,09/02/2027,09/09/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Tile install main level areas,09/06/2027,09/15/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Countertop template,09/08/2027,09/09/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Countertop field verification after cabinets,09/08/2027,09/08/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build. [critical:yes]
Floor protection install,09/10/2027,09/10/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Countertop fabrication,09/10/2027,09/30/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Floor finish cure / protection period,09/10/2027,09/14/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Interior paint coat 1,09/13/2027,09/17/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Tile install upper level baths,09/16/2027,09/27/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Interior paint coat 2,09/20/2027,09/24/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Paint touch-up before trim,09/27/2027,09/28/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Tile grout / seal,09/28/2027,10/01/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Decorative lighting owner release check,09/29/2027,09/29/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Countertop installation,10/01/2027,10/05/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Shower glass measure,10/04/2027,10/04/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Stone slab template readiness walk,10/04/2027,10/04/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Shower glass opening verification,10/04/2027,10/04/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Mirror measure and release,10/04/2027,10/04/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Shower glass fabrication,10/05/2027,10/25/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Mirror fabrication,10/05/2027,10/18/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Finish carpentry / casing / base,10/06/2027,10/19/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Mirror installation,10/19/2027,10/20/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Interior doors / hardware installation,10/20/2027,10/26/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Paint final touch-up after millwork,10/20/2027,10/22/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Shower glass install,10/26/2027,10/27/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Stair refinishing,10/27/2027,11/05/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Interior hardware final set verification,10/27/2027,10/27/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,Production field-detail task added in v1.0 one-pass build.
Interior finishes substantial completion milestone,10/28/2027,10/28/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,[critical:yes]
Plumbing fixture delivery check,10/29/2027,10/29/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
HVAC equipment delivery check,10/29/2027,10/29/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Electrical gear delivery check,10/29/2027,10/29/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Low voltage trim-out,10/29/2027,11/04/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Appliance delivery check,10/29/2027,10/29/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Fire suppression trim / final,10/29/2027,11/02/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Plumbing trim-out,11/01/2027,11/08/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
HVAC finish / grilles / controls,11/01/2027,11/08/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Electrical trim-out,11/01/2027,11/10/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Appliance installation,11/01/2027,11/04/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Low voltage / AV system test,11/05/2027,11/08/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Appliance startup / test,11/05/2027,11/05/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass.
Fireplace finish installation,11/08/2027,11/12/2027,Super/PM,Not Started,0.00,Interior Buildout / Finishes,""
Mechanical startup / balancing,11/09/2027,11/12/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Plumbing pressure / fixture test,11/09/2027,11/10/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Domestic hot water startup,11/09/2027,11/09/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass. [critical:yes]
Lighting fixture install,11/11/2027,11/18/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,""
Fireplace startup / test,11/15/2027,11/15/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,Commissioning detail added in v1.0 production pass.
Electrical systems test,11/19/2027,11/22/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
Owner systems orientation prep,11/23/2027,11/24/2027,Super/PM,Not Started,0.00,Trim-Out / Startup,[critical:yes]
