Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
Finalize baseline schedule review with team,08/04/2026,08/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Hazmat / regulated material verification,08/04/2026,08/06/2026,PM / Super,Not Started,0.00,"",Production date window applied
Publish two-week lookahead #1,08/05/2026,08/05/2026,PM / Super,Not Started,0.00,"",Production date window applied
Selective interior demolition - Area B,08/05/2026,08/11/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Architect/engineer review - steel,08/05/2026,08/11/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm superintendent reporting workflow,08/06/2026,08/06/2026,PM / Super,Not Started,0.00,"",Production date window applied
Confirm drawing revision distribution workflow,08/06/2026,08/06/2026,PM / Super,Not Started,0.00,"",Production date window applied
Owner salvage confirmation,08/06/2026,08/06/2026,PM / Super,Not Started,0.00,"",Production date window applied
Remove existing fixtures/equipment scheduled for replacement,08/06/2026,08/10/2026,PM / Super,Not Started,0.00,"",Production date window applied
Project controls setup complete milestone,08/07/2026,08/07/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Protect existing finishes to remain,08/07/2026,08/11/2026,PM / Super,Not Started,0.00,"",Production date window applied
Temporary weather protection setup,08/10/2026,08/11/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Sawcut slabs / openings per structural scope,08/10/2026,08/12/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Steel revise/resubmit if needed,08/10/2026,08/14/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Temporary shoring plan final confirmation,08/11/2026,08/12/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Remove existing exterior assemblies at tie-ins,08/11/2026,08/14/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Pre-demo coordination meeting,08/12/2026,08/12/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Disconnect / make safe electrical,08/13/2026,08/14/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Structural demolition / openings - engineer review points,08/13/2026,08/19/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release steel for fabrication,08/13/2026,08/13/2026,PM / Procurement,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Disconnect / make safe plumbing,08/14/2026,08/17/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Debris sorting and haul-off cycle 1,08/14/2026,08/17/2026,PM / Super,Not Started,0.00,"",Production date window applied
Disconnect / make safe HVAC,08/17/2026,08/18/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm protection of occupied/adjacent areas,08/18/2026,08/18/2026,PM / Super,Not Started,0.00,"",Production date window applied
Debris sorting and haul-off cycle 2,08/18/2026,08/19/2026,PM / Super,Not Started,0.00,"",Production date window applied
Existing conditions RFI log review,08/19/2026,08/19/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Field verify unforeseen conditions after demo,08/19/2026,08/20/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Steel fabrication,08/19/2026,09/29/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Existing conditions release to demolition,08/20/2026,08/20/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Mobilization / existing conditions complete milestone,08/21/2026,08/21/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Issue demo condition RFI / sketch log as needed,08/21/2026,08/24/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Demo area cleanup and safe-off,08/24/2026,08/25/2026,PM / Super,Not Started,0.00,"",Production date window applied
Mobilize excavation / shoring contractor,08/24/2026,08/25/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Steel delivery to site,08/24/2026,08/25/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Structural engineer post-demo review,08/26/2026,08/26/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm excavation layout,08/26/2026,08/26/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Revise sequence for discovered conditions if needed,08/27/2026,08/27/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm window schedule / openings,08/27/2026,09/02/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Install shoring / temporary support Area A,08/28/2026,09/03/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Demo rough opening prep,08/31/2026,09/02/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Demo complete - foundations areas released,09/01/2026,09/01/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Underpinning Area A excavation,09/02/2026,09/07/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Window shop drawings,09/02/2026,09/15/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Demo complete - framing areas released,09/03/2026,09/03/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Demo complete - MEP investigation released,09/04/2026,09/04/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Underpinning Area A form/rebar,09/04/2026,09/09/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Owner/architect approval - windows,09/07/2026,09/11/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Demolition punch / cleanup,09/08/2026,09/09/2026,PM / Super,Not Started,0.00,"",Production date window applied
Underpinning Area A concrete placement,09/08/2026,09/08/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Demolition waste final haul,09/09/2026,09/09/2026,PM / Super,Not Started,0.00,"",Production date window applied
Underpinning Area A cure/hold,09/10/2026,09/16/2026,PM / Super,Not Started,0.00,"",v04 update: structural underpinning plan states WAIT TWO WEEKS after phase 1 concrete cure before proceeding; duration corrected from 5 wd to 10 wd. [critical:yes]
PROCUREMENT - Release windows for production,09/10/2026,09/10/2026,PM / Procurement,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Demolition complete milestone,09/11/2026,09/11/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Underpinning Area A engineer release,09/14/2026,09/14/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install shoring / temporary support Area B,09/16/2026,09/22/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Window manufacturing,09/16/2026,11/24/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Underpinning Area B excavation,09/21/2026,09/24/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Window delivery to site,09/21/2026,09/22/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Underpinning Area B form/rebar,09/23/2026,09/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Window delivery inspection,09/24/2026,09/24/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Underpinning Area B concrete placement,09/25/2026,09/25/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Underpinning Area B cure/hold,09/29/2026,10/05/2026,PM / Super,Not Started,0.00,"",v04 update: structural underpinning plan states WAIT TWO WEEKS after phase 2 concrete cure before removal/demo/new footing sequence; duration corrected from 5 wd to 10 wd. [critical:yes]
PROCUREMENT - Confirm exterior door schedule,09/30/2026,10/05/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Underpinning Area B engineer release,10/01/2026,10/01/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Exterior door submittals,10/05/2026,10/14/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Bulk excavation for new foundation areas,10/06/2026,10/15/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Export excavated material,10/08/2026,10/15/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Owner/architect approval - exterior doors,10/08/2026,10/14/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Dewatering / moisture control as needed,10/12/2026,10/14/2026,PM / Super,Not Started,0.00,"",Production date window applied
Subgrade prep and cleanup,10/14/2026,10/15/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release exterior doors,10/14/2026,10/14/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Proof roll / geotechnical observation,10/16/2026,10/16/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation formwork Area A,10/19/2026,10/22/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Exterior door fabrication,10/19/2026,12/04/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Overexcavation correction if required,10/21/2026,10/23/2026,PM / Super,Not Started,0.00,"",Production date window applied
Foundation reinforcing Area A,10/21/2026,10/26/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Exterior door delivery,10/22/2026,10/23/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Final footing excavation,10/23/2026,10/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation embed/sleeve coordination Area A,10/23/2026,10/26/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation inspection Area A,10/26/2026,10/26/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Survey foundation layout confirmation,10/27/2026,10/27/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation concrete placement Area A,10/28/2026,10/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm cabinet/millwork design basis,10/28/2026,11/06/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Excavation safety review,10/29/2026,10/29/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Cure/strip Area A,10/30/2026,11/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation subgrade release,11/02/2026,11/02/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
PROCUREMENT - Cabinet shop drawings,11/02/2026,11/20/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Foundation formwork Area B,11/03/2026,11/06/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Coordinate under-slab utility sleeves before concrete,11/04/2026,11/05/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation reinforcing Area B,11/04/2026,11/09/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Owner/architect approval - cabinets,11/05/2026,11/13/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Foundation embed/sleeve coordination Area B,11/06/2026,11/09/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Earthwork / underpinning / shoring complete,11/09/2026,11/09/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Foundation inspection Area B,11/10/2026,11/10/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release concrete foundations,11/11/2026,11/11/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
PROCUREMENT - Release cabinets for fabrication,11/11/2026,11/11/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Foundation concrete placement Area B,11/12/2026,11/12/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Update schedule for actual excavation conditions,11/13/2026,11/13/2026,PM / Super,Not Started,0.00,"",Production date window applied
Cure/strip Area B,11/13/2026,11/18/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Cabinet fabrication,11/16/2026,02/05/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Foundation wall waterproofing,11/17/2026,11/23/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Drain tile / foundation drainage,11/19/2026,11/24/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Cabinet delivery,11/19/2026,11/23/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Foundation insulation / protection board,11/23/2026,11/25/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Under-slab plumbing rough coordination,11/24/2026,11/27/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm stone selections and slabs,11/25/2026,12/08/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Under-slab electrical/data conduits,11/26/2026,11/30/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Vapor barrier / under-slab prep,11/30/2026,12/01/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Stone shop/takeoff after field dimensions,11/30/2026,12/04/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Slab reinforcing / embeds,12/02/2026,12/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Slab inspection,12/03/2026,12/03/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Stone fabrication,12/04/2026,01/07/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Slab concrete placement,12/07/2026,12/07/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Slab cure / protection,12/09/2026,12/15/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Stone delivery,12/09/2026,12/10/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Backfill foundation areas,12/11/2026,12/16/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Concrete patch / housekeeping,12/14/2026,12/15/2026,PM / Super,Not Started,0.00,"",Production date window applied
PROCUREMENT - Confirm tile selections,12/14/2026,12/22/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Structural steel pre-install coordination,12/14/2026,12/15/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Foundation complete milestone,12/16/2026,12/16/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Crane / equipment mobilization,12/17/2026,12/17/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release structural steel / framing,12/18/2026,12/18/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
PROCUREMENT - Tile submittals/mockups,12/18/2026,12/28/2026,PM / Procurement,Not Started,0.00,"",Production date window applied
Install primary structural steel,12/21/2026,12/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release tile material,12/23/2026,12/23/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Install secondary steel / lintels / misc supports,12/24/2026,12/30/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Tile procurement/delivery,12/28/2026,02/12/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Welding / bolting completion,12/29/2026,12/31/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Structural steel inspection,12/31/2026,12/31/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm appliance package,01/01/2027,01/11/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Steel corrections / punch,01/05/2027,01/07/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release appliance order,01/06/2027,01/06/2027,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Engineer release structural steel,01/07/2027,01/07/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Appliance procurement lead time,01/11/2027,04/02/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Framing mobilization,01/11/2027,01/12/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Structural steel complete milestone,01/12/2027,01/12/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Layout walls/openings,01/13/2027,01/14/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Appliance delivery,01/15/2027,01/18/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Release framing structural work,01/15/2027,01/15/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Floor framing / structural modifications,01/15/2027,01/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Update as-built dimensions for openings,01/19/2027,01/20/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Wall framing Area A,01/19/2027,01/28/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm decorative lighting schedule,01/20/2027,02/02/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Wall framing Area B,01/21/2027,02/01/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Steel procurement/installation closeout,01/22/2027,01/22/2027,PM / Super,Not Started,0.00,"",Production date window applied
PROCUREMENT - Lighting submittals,01/25/2027,02/02/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Roof framing modifications,01/25/2027,02/03/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Shear / holdown / hardware install,01/27/2027,02/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release decorative lighting,01/29/2027,01/29/2027,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Stair / structural backing coordination,01/29/2027,02/03/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Window/door rough opening framing,02/02/2027,02/08/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Decorative lighting procurement,02/03/2027,04/13/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
MEP backing/blocking phase 1,02/04/2027,02/09/2027,PM / Super,Not Started,0.00,"",Production date window applied
PROCUREMENT - Decorative lighting delivery,02/08/2027,02/09/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
MEP backing/blocking phase 2,02/08/2027,02/11/2027,PM / Super,Not Started,0.00,"",Production date window applied
Fire blocking / draftstopping,02/10/2027,02/12/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm plumbing fixture schedule,02/12/2027,02/25/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Exterior sheathing,02/15/2027,02/22/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Roofing/weatherproofing precon,02/15/2027,02/15/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Fixture submittals,02/17/2027,02/25/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Interior framing corrections,02/17/2027,02/22/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install roof underlayment/dry-in phase 1,02/18/2027,02/24/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Structural framing inspection prep,02/19/2027,02/22/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release plumbing fixtures,02/22/2027,02/22/2027,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
MEP coordination meeting / clash review,02/22/2027,02/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Structural framing inspection,02/23/2027,02/23/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install roof flashings phase 1,02/23/2027,02/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing rough-in underground/remaining,02/24/2027,03/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Framing corrections / punch,02/25/2027,03/02/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Plumbing fixture procurement,02/26/2027,04/29/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Install roofing phase 1,02/26/2027,03/08/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing rough-in walls/ceilings Area A,02/26/2027,03/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Engineer framing release,03/01/2027,03/01/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Plumbing rough-in walls/ceilings Area B,03/02/2027,03/11/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Plumbing fixtures delivery,03/03/2027,03/04/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Framing complete milestone,03/03/2027,03/03/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Install WRB / exterior waterproofing,03/03/2027,03/11/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
HVAC layout and equipment coordination,03/04/2027,03/09/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release rough MEP,03/05/2027,03/05/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Window field verification complete,03/05/2027,03/08/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Confirm AV/controls scope,03/08/2027,03/16/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
HVAC rough duct / hydronic Area A,03/08/2027,03/17/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release roofing rough-in,03/09/2027,03/09/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Window delivery confirmed,03/10/2027,03/10/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
HVAC rough duct / hydronic Area B,03/10/2027,03/19/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Release window field verification,03/11/2027,03/11/2027,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
PROCUREMENT - AV/controls shop drawings,03/12/2027,03/31/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Electrical rough-in layout,03/12/2027,03/17/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Framing waste cleanup,03/15/2027,03/16/2027,PM / Super,Not Started,0.00,"",Production date window applied
Install windows Area A,03/15/2027,03/19/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Electrical rough-in Area A,03/16/2027,03/25/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Owner approval - AV/controls,03/17/2027,03/23/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Framing closeout coordination,03/17/2027,03/17/2027,PM / Super,Not Started,0.00,"",Production date window applied
Install windows Area B,03/18/2027,03/24/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Electrical rough-in Area B,03/18/2027,03/29/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Release AV/controls equipment,03/22/2027,03/22/2027,PM / Procurement,Not Started,0.00,"",Production date window applied [milestone:yes]
Lighting control rough-in,03/22/2027,03/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install exterior doors,03/23/2027,03/26/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Low voltage / AV rough-in Area A,03/24/2027,03/31/2027,PM / Super,Not Started,0.00,"",Production date window applied
PROCUREMENT - AV equipment procurement,03/26/2027,05/27/2027,PM / Procurement,Not Started,0.00,"",Production date window applied
Air/water barrier tie-ins,03/26/2027,03/31/2027,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Low voltage / AV rough-in Area B,03/26/2027,04/02/2027,PM / Super,Not Started,0.00,"",Production date window applied
Fire protection rough-in if required,03/30/2027,04/05/2027,PM / Super,Not Started,0.00,"",Production date window applied
